orth: : 0.0, 0/1
ommi: incomplete_phrase : 0.2, 1/5
orth: 26 missing or incorrect use of apostrophes : 0.25, 1/4
infl: weak_instead_of_strong : 0.5, 1/2
orth: 13 omissions: of graphemecluster : 0.54, 7/13
infl: others : 0.59, 24/41
orth: 10 missing or unnecessary hyphen : 0.6, 6/10
infl: strong_instead_of_weak : 0.64, 9/14
corr: incorrect_preposition_(po) : 0.72, 13/18
orth: 27 abbreviations : 0.74, 57/77
orth: 07 sep instead of tog: other cases : 0.75, 6/8
orth: Unknown : 0.75, 6/8
corr: unknown : 0.75, 24/32
orth: 17 insertions: other cases : 0.75, 45/60
orth: 16 insertions: of a vowel: (ie) instead of (i) : 0.76, 26/34
orth: 28 Eigennamen : 0.77, 140/181
corr: inflection_paradigm : 0.78, 65/83
orth: 09 tog instead of sep: other cases : 0.78, 128/165
orth: 14 omissions: of one grapheme : 0.79, 167/212
orth: 03 cap instead of lcp : 0.79, 650/823
orth: 04 lcp/cap behind punctuation marks : 0.8, 84/105
corr: case : 0.82, 266/324
orth: 11 omissions: of double consonants : 0.84, 872/1035
infl: comparision : 0.86, 6/7
corr: incorrect_adjunctor : 0.86, 12/14
orth: 24 transpositions: of (ss) and (ß) : 0.86, 32/37
orth: 21 transpositions: of vowel and umlaut : 0.86, 49/57
orth: 23 transpositions: of consonants: other cases : 0.86, 111/129
orth: 01 lcp instead of cap: polite form : 0.87, 33/38
orth: 22 transpositions: of consonants: Fortis/Lenis : 0.87, 60/69
corr: number : 0.87, 143/165
orth: 08 tog instead of sep: minimal phraseologism : 0.87, 297/342
corr: gender : 0.88, 134/153
orth: 02 lcp instead of cap: other cases : 0.88, 634/723
corr: other : 0.92, 12/13
orth: 15 insertions: of double consonants : 0.93, 216/232
orth: 12 omissions: of a vowel: (i) instead of (ie) : 0.95, 39/41
orth: 19 transpositions: of (e/ä) / (ä/e) : 0.96, 26/27
orth: 18 transpositions: of vowels : 0.98, 42/43
corr: incorrect_preposition_(other_complements) : 1.0, 2/2
orth: 25 incorrect positioning of two graphemes : 1.0, 4/4
orth: 06 sep instead of tog: compounds : 1.0, 4/4
