error_id	type	error_length	suggestion	is_correct	5_gram_is_suggested	5_gram_score	5_gram_rank	3_gram_is_suggested	3_gram_score	3_gram_rank	1_gram_is_suggested	1_gram_score	1_gram_rank	10_gram_is_suggested	10_gram_score	10_gram_rank	spellcheker_suggested	spellcheker_score	spellcheker_rank
fold6_4640_ID2821.txt_5_38_36_Veralgemeinerung	orth: 11 omissions: of double consonants	16	Allergenvermeidung	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	11	3
fold6_4640_ID2821.txt_5_38_36_Veralgemeinerung	orth: 11 omissions: of double consonants	16	Verallgemeiner	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	4	2
fold6_4640_ID2821.txt_5_38_36_Veralgemeinerung	orth: 11 omissions: of double consonants	16	Verallgemeinern	0	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	3	1
fold6_4640_ID2821.txt_5_38_36_Veralgemeinerung	orth: 11 omissions: of double consonants	16	Verallgemeinerung	1	0	0.0	-1	0	0.0	-1	0	0.0	-1	1	-2404.23	0	1	1	0
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	mir einander	0	0	0.0	-1	0	0.0	-1	1	-2.93073	7	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	an einander	0	0	0.0	-1	0	0.0	-1	1	-2.92207	6	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	vor einander	0	0	0.0	-1	0	0.0	-1	1	-2.91527	5	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	über einander	0	0	0.0	-1	1	-8.43322	7	1	-2.90485	4	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	mit einander	0	0	0.0	-1	1	-8.34699	6	1	-2.86757	3	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	vom einander	0	1	-6.59084	9	1	-8.24801	5	1	-2.79686	2	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	einander von	0	1	-6.47081	7	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
fold4_2129_ID2487.txt_17_136_136_von einander	orth: 07 sep instead of tog: other cases	12	von	0	1	-6.45486	6	0	0.0	-1	0	0.0	-1	0	0.0	-1	0	-100	-1
