fold#	line	filename	origline	indx	err_indx	error	correction	types
fold0	10	ID1245.txt	10	114	114	neues	Neues	['orth: 02 lcp instead of cap: other cases']
fold0	21	ID2735.txt	1	32	32		Zitat	['orth: 17 insertions: other cases']
fold0	21	ID2735.txt	1	73	68	fortbildens	Fortbildens	['orth: 02 lcp instead of cap: other cases']
fold0	21	ID2735.txt	1	89	84	abtastens	Abtastens	['orth: 02 lcp instead of cap: other cases']
fold0	25	ID2735.txt	5	101	101	Fag	Tag	['orth: 23 transpositions: of consonants: other cases']
fold0	35	ID2735.txt	15	90	90	nunmal	nun mal	['orth: 09 tog instead of sep: other cases']
fold0	37	ID2351.txt	1	31	31	Schwierige	schwierige	['orth: 03 cap instead of lcp']
fold0	40	ID2351.txt	4	22	22	Äusserung	Äußerung	['orth: 24 transpositions: of (ss) and (ß)']
fold0	42	ID2351.txt	6	17	17	anderst	anders	['orth: 17 insertions: other cases']
fold0	42	ID2351.txt	6	29	30	Jung	jung	['orth: 03 cap instead of lcp']
fold0	43	ID2351.txt	7	23	23	behauptung	Behauptung	['orth: 02 lcp instead of cap: other cases']
fold0	45	ID2351.txt	9	8	8	das	dass	['orth: 11 omissions: of double consonants']
fold0	46	ID2351.txt	10	3	3	hatt	hat	['orth: 15 insertions: of double consonants']
fold0	46	ID2351.txt	10	42	43	diesesmal	dieses Mal	['orth: 09 tog instead of sep: other cases']
fold0	46	ID2351.txt	10	130	130	Tanzen	tanzen	['orth: 03 cap instead of lcp']
fold0	47	ID2351.txt	11	54	54	Gesellschaftliches	gesellschaftliches	['orth: 03 cap instead of lcp']
fold0	47	ID2351.txt	11	74	74	Bedürfniss	Bedürfnis	['orth: 15 insertions: of double consonants']
fold0	47	ID2351.txt	11	97	98	Auszugehen	auszugehen	['orth: 03 cap instead of lcp']
fold0	47	ID2351.txt	11	120	121	Amüsieren	amüsieren	['orth: 03 cap instead of lcp']
fold0	49	ID2351.txt	13	46	46	verlangen	Verlangen	['orth: 02 lcp instead of cap: other cases']
fold0	52	ID2351.txt	16	121	121	ausprobieren	Ausprobieren	['orth: 02 lcp instead of cap: other cases']
fold0	52	ID2351.txt	16	136	136	experimentieren	Experimentieren	['orth: 02 lcp instead of cap: other cases']
