orth: : 0.0, 0/1
orth: 26 missing or incorrect use of apostrophes : 0.25, 1/4
ommi: incomplete_phrase : 0.43, 3/7
infl: weak_instead_of_strong : 0.5, 1/2
orth: 10 missing or unnecessary hyphen : 0.62, 8/13
orth: 13 omissions: of graphemecluster : 0.62, 10/16
infl: others : 0.63, 31/49
corr: incorrect_preposition_(po) : 0.72, 13/18
orth: 25 incorrect positioning of two graphemes : 0.75, 3/4
orth: 07 sep instead of tog: other cases : 0.75, 6/8
corr: unknown : 0.75, 24/32
orth: 27 abbreviations : 0.75, 59/79
infl: strong_instead_of_weak : 0.77, 24/31
orth: 09 tog instead of sep: other cases : 0.78, 142/181
orth: Unknown : 0.8, 8/10
corr: inflection_paradigm : 0.81, 68/84
orth: 04 lcp/cap behind punctuation marks : 0.81, 86/106
orth: 16 insertions: of a vowel: (ie) instead of (i) : 0.82, 54/66
orth: 17 insertions: other cases : 0.82, 84/103
corr: case : 0.82, 271/332
orth: 28 Eigennamen : 0.83, 244/294
orth: 14 omissions: of one grapheme : 0.84, 262/312
orth: 03 cap instead of lcp : 0.84, 915/1091
orth: 11 omissions: of double consonants : 0.84, 917/1086
orth: 01 lcp instead of cap: polite form : 0.85, 33/39
orth: 22 transpositions: of consonants: Fortis/Lenis : 0.85, 102/120
corr: incorrect_adjunctor : 0.86, 12/14
corr: number : 0.86, 144/168
orth: 08 tog instead of sep: minimal phraseologism : 0.86, 299/346
orth: 02 lcp instead of cap: other cases : 0.86, 896/1044
orth: 21 transpositions: of vowel and umlaut : 0.88, 88/100
corr: gender : 0.88, 137/155
infl: comparision : 0.9, 9/10
orth: 12 omissions: of a vowel: (i) instead of (ie) : 0.91, 48/53
orth: 24 transpositions: of (ss) and (ß) : 0.91, 51/56
orth: 19 transpositions: of (e/ä) / (ä/e) : 0.92, 44/48
orth: 23 transpositions: of consonants: other cases : 0.92, 177/193
orth: 15 insertions: of double consonants : 0.93, 272/293
orth: 18 transpositions: of vowels : 0.96, 48/50
orth: 20 transpositions: of (i/e) / (e/i) : 1.0, 1/1
corr: incorrect_preposition_(other_complements) : 1.0, 2/2
orth: 06 sep instead of tog: compounds : 1.0, 4/4
corr: other : 1.0, 13/13
