orth: : 0.0, 0/1
orth: 26 missing or incorrect use of apostrophes : 0.25, 1/4
ommi: incomplete_phrase : 0.43, 3/7
infl: weak_instead_of_strong : 0.5, 1/2
infl: others : 0.61, 30/49
orth: 13 omissions: of graphemecluster : 0.62, 10/16
orth: 10 missing or unnecessary hyphen : 0.69, 9/13
infl: strong_instead_of_weak : 0.74, 23/31
orth: 06 sep instead of tog: compounds : 0.75, 3/4
orth: 07 sep instead of tog: other cases : 0.75, 6/8
corr: unknown : 0.75, 24/32
corr: incorrect_preposition_(po) : 0.78, 14/18
orth: 27 abbreviations : 0.78, 62/79
orth: 09 tog instead of sep: other cases : 0.78, 142/181
corr: inflection_paradigm : 0.79, 66/84
orth: 04 lcp/cap behind punctuation marks : 0.79, 76/96
orth: Unknown : 0.8, 8/10
infl: comparision : 0.8, 8/10
corr: case : 0.82, 246/301
orth: 01 lcp instead of cap: polite form : 0.85, 33/39
orth: 16 insertions: of a vowel: (ie) instead of (i) : 0.85, 56/66
corr: gender : 0.86, 134/156
corr: number : 0.86, 146/169
orth: 08 tog instead of sep: minimal phraseologism : 0.86, 298/345
orth: 03 cap instead of lcp : 0.86, 934/1092
orth: 17 insertions: other cases : 0.87, 87/100
orth: 11 omissions: of double consonants : 0.87, 949/1086
orth: 28 Eigennamen : 0.88, 258/294
orth: 14 omissions: of one grapheme : 0.88, 275/311
orth: 21 transpositions: of vowel and umlaut : 0.9, 90/100
orth: 02 lcp instead of cap: other cases : 0.9, 937/1044
orth: 23 transpositions: of consonants: other cases : 0.91, 175/193
corr: other : 0.92, 12/13
orth: 19 transpositions: of (e/ä) / (ä/e) : 0.92, 44/48
orth: 12 omissions: of a vowel: (i) instead of (ie) : 0.92, 49/53
orth: 22 transpositions: of consonants: Fortis/Lenis : 0.92, 110/120
corr: incorrect_adjunctor : 0.93, 13/14
orth: 24 transpositions: of (ss) and (ß) : 0.93, 52/56
orth: 15 insertions: of double consonants : 0.94, 274/293
orth: 18 transpositions: of vowels : 0.98, 49/50
orth: 20 transpositions: of (i/e) / (e/i) : 1.0, 1/1
corr: incorrect_preposition_(other_complements) : 1.0, 2/2
orth: 25 incorrect positioning of two graphemes : 1.0, 4/4
