error_id	type	error_length	suggestion	is_correct	10_gram_is_suggested	10_gram_score	1_gram_is_suggested	1_gram_score	3_gram_is_suggested	3_gram_score	5_gram_is_suggested	5_gram_score	expected
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	anders	1	0	0.0	1	-1.70044	1	-4.66805	1	-6.20088	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	anderst fast	0	0	0.0	1	-2.32733	1	-6.07381	1	-7.36645	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	anders fast	0	0	0.0	1	-2.38141	-1	-4.66805	-1	-6.20088	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	anderst Fast	0	0	0.0	1	-2.41413	-1	-4.66805	-1	-6.20088	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	fast anderst	0	0	0.0	-1	-1.70044	1	-6.08284	1	-7.23563	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	fast anders	0	0	0.0	-1	-1.70044	1	-6.33295	-1	-6.20088	anders
fold3_756_ID2192.txt_22_46_45_anderst	orth: 17 insertions: other cases	7	fast	0	0	0.0	-1	-1.70044	-1	-4.66805	1	-7.42045	anders
fold3_1442_ID1216.txt_3_20_20_wircklich	orth: 17 insertions: other cases	9	wirklich	1	1	-6504.57	0	0.0	0	0.0	0	0.0	wirklich
fold3_1442_ID1216.txt_3_20_20_wircklich	orth: 17 insertions: other cases	9	- wirklich	0	1	-2203.94	0	0.0	0	0.0	0	0.0	wirklich
fold3_2722_ID2374.txt_25_26_26_Jungend	orth: 17 insertions: other cases	7	jungend	0	1	-2604.69	-1	-2903.39	-1	-2909.39	-1	-2914.5	Jugend
fold3_2722_ID2374.txt_25_26_26_Jungend	orth: 17 insertions: other cases	7	- Jungend	0	1	-2604.91	-1	-2903.39	-1	-2909.39	-1	-2914.5	Jugend
fold3_2722_ID2374.txt_25_26_26_Jungend	orth: 17 insertions: other cases	7	- jungend	0	1	-2605.15	-1	-2903.39	-1	-2909.39	-1	-2914.5	Jugend
fold3_2722_ID2374.txt_25_26_26_Jungend	orth: 17 insertions: other cases	7	Jugend	1	-1	-2604.69	1	-2903.39	1	-2909.39	1	-2914.5	Jugend
fold3_2815_ID1669.txt_17_14_14_währe	orth: 17 insertions: other cases	5	wäre	1	1	-8810.49	1	-101.116	1	-102.487	1	-103.553	wäre
fold3_3095_ID2625.txt_24_16_16_wiederrum	orth: 17 insertions: other cases	9	wiederum	1	1	-3103.7	1	-0.92258	1	-2.20229	1	-2.84054	wiederum
fold3_3095_ID2625.txt_24_16_16_wiederrum	orth: 17 insertions: other cases	9	- wiederum	0	1	-4905.92	-1	-0.92258	-1	-2.20229	-1	-2.84054	wiederum
fold3_3095_ID2625.txt_24_16_16_wiederrum	orth: 17 insertions: other cases	9	widerrum	0	1	-4906.13	-1	-0.92258	-1	-2.20229	-1	-2.84054	wiederum
fold3_3751_ID1379.txt_31_57_57_tuen	orth: 17 insertions: other cases	4	-Tuen	0	1	-5710.39	-1	-3.17872	-1	-7.26679	-1	-9.11276	tun
fold3_3751_ID1379.txt_31_57_57_tuen	orth: 17 insertions: other cases	4	- tuen	0	1	-5710.46	-1	-3.17872	-1	-7.26679	-1	-9.11276	tun
fold3_3751_ID1379.txt_31_57_57_tuen	orth: 17 insertions: other cases	4	tun	1	-1	-5710.39	1	-2302.98	1	-2308.1	1	-2312.48	tun
