error_id	type	error_length	suggestion	is_correct	10_gram_is_suggested	10_gram_score	1_gram_is_suggested	1_gram_score	3_gram_is_suggested	3_gram_score	5_gram_is_suggested	5_gram_score	spellcheker_suggested	spellcheker_score
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	das ist	0	0	0.0	-1	-14.0	1	-5.06154	-1	-4.2281	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	das familiäre	0	0	0.0	-1	-14.0	1	-5.03122	-1	-4.2281	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	die	0	0	0.0	1	-14.0	1	-4.70697	1	-5.25896	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	den	0	0	0.0	1	-14.0	-1	-3.8594	1	-5.75562	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	dem	0	0	0.0	1	-14.0	1	-4.78739	1	-5.24971	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	dass	1	0	0.0	1	-14.0	1	-3.8594	1	-4.2281	0	0
fold5_4453_ID1724.txt_10_23_23_das	orth: 11 omissions: of double consonants	3	dasselbe	0	0	0.0	1	-14.0	-1	-3.8594	-1	-4.2281	0	0
fold8_3201_ID2963.txt_10_0_0_Desshalb	orth: 15 insertions: of double consonants	8	Deshalb	1	1	-10409.4	1	-3.31272	1	-6.36909	1	-7.13224	1	0
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	vor	0	0	-9012.49	1	-6.65137	1	-10.7675	1	-11.4181	-1	1
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	vor	0	1	-9012.49	1	-6.65137	1	-10.7675	1	-11.4181	1	0
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	- vor allem	0	0	-9012.93	-1	-6.65137	-1	-10.1687	-1	-10.5475	-1	4
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	- vor allem	0	0	-9012.93	-1	-6.65137	-1	-10.1687	-1	-10.5475	-1	1
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	- vor allem	0	1	-9012.93	-1	-6.65137	-1	-10.1687	-1	-10.5475	1	0
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	er vor allem	0	0	-9012.68	-1	-6.65137	-1	-10.1687	-1	-10.5475	-1	4
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	er vor allem	0	0	-9012.68	-1	-6.65137	-1	-10.1687	-1	-10.5475	-1	1
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	er vor allem	0	1	-9012.68	-1	-6.65137	-1	-10.1687	-1	-10.5475	1	0
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	vor allem	1	0	-9012.49	-1	-6.65137	1	-10.1687	1	-10.5475	-1	4
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	vor allem	1	0	-9012.49	-1	-6.65137	1	-10.1687	1	-10.5475	-1	1
fold8_4647_ID1703.txt_12_18_18_vorallem	orth: 08 tog instead of sep: minimal phraseologism	8	vor allem	1	1	-9012.49	-1	-6.65137	1	-10.1687	1	-10.5475	1	0
fold3_2241_ID1243.txt_14_65_65_geprädigt	orth: 19 transpositions: of (e/ä) / (ä/e)	9	gepredigt	1	1	-11609.4	1	-3.30437	1	-7.29568	1	-9.49507	1	0
fold1_254_ID1472.txt_15_38_38_jugend	orth: 02 lcp instead of cap: other cases	6	Jugend	1	0	-8905.58	1	-5.33577	1	-4.35349	1	-8.21009	-1	2
fold1_254_ID1472.txt_15_38_38_jugend	orth: 02 lcp instead of cap: other cases	6	Jugend	1	0	-8905.58	1	-5.33577	1	-4.35349	1	-8.21009	-1	2
fold1_254_ID1472.txt_15_38_38_jugend	orth: 02 lcp instead of cap: other cases	6	Jugend	1	0	-8905.58	1	-5.33577	1	-4.35349	1	-8.21009	-1	2
fold1_254_ID1472.txt_15_38_38_jugend	orth: 02 lcp instead of cap: other cases	6	Jugend	1	0	-8905.58	1	-5.33577	1	-4.35349	1	-8.21009	-1	2
fold6_4652_ID2821.txt_17_15_15_mach	corr: unknown	4	macht häufig	0	0	0.0	1	-5.57801	-1	-7.18685	1	-8.978	0	0
fold6_4652_ID2821.txt_17_15_15_mach	corr: unknown	4	häufig	0	0	0.0	1	-5.48545	1	-7.18685	1	-7.93671	0	0
fold6_4652_ID2821.txt_17_15_15_mach	corr: unknown	4	mach häufig	0	0	0.0	1	-5.36428	1	-7.45805	1	-8.56525	0	0
fold6_4652_ID2821.txt_17_15_15_mach	corr: unknown	4	machen	1	0	0.0	1	-5.26861	1	-7.38049	1	-7.58777	0	0
fold6_4652_ID2821.txt_17_15_15_mach	corr: unknown	4	macht	0	0	0.0	1	-5.18358	1	-7.2513	1	-7.44385	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	das beneidenswerteste	0	-1	-33826.9	-1	-5510.53	1	-5527.97	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	das familiäre	0	-1	-33826.9	-1	-5510.53	1	-5527.96	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	die	0	-1	-33826.9	1	-5511.35	-1	-5526.96	1	-5521.53	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	Das	0	-1	-33826.9	1	-5511.27	1	-5527.87	1	-5521.42	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	dafür	0	-1	-33826.9	1	-5511.19	-1	-5526.96	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	dem	0	-1	-33826.9	1	-5511.13	1	-5527.72	1	-5521.24	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	e das	0	1	-33827.3	-1	-5510.53	-1	-5526.96	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	er dass	0	1	-33827.3	-1	-5510.53	-1	-5526.96	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	dass	1	1	-33827.0	1	-5510.53	1	-5526.96	1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	- das	0	1	-33827.0	-1	-5510.53	-1	-5526.96	-1	-5520.25	0	0
fold8_4673_ID1009.txt_13_10_10_das	orth: 11 omissions: of double consonants	3	er das	0	1	-33826.9	-1	-5510.53	-1	-5526.96	-1	-5520.25	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	dass oft	0	0	0.0	-1	-7.52335	1	-6.78703	1	-11.3953	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	dass ,	0	0	0.0	-1	-7.52335	1	-6.7706	1	-11.4742	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	sodass	0	0	0.0	1	-9.36615	-1	-6.10005	1	-11.6701	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	die	0	0	0.0	1	-8.31557	-1	-6.10005	-1	-10.8347	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	Das	0	0	0.0	1	-8.28299	1	-6.8585	-1	-10.8347	0	0
fold1_2325_ID1460.txt_27_56_56_dass	orth: 15 insertions: of double consonants	4	das	1	0	0.0	1	-7.52335	1	-6.10005	1	-10.8347	0	0
fold5_1457_ID2888.txt_20_7_7_Jungendliche	orth: 17 insertions: other cases	12	Jugendliche	1	0	-11211.1	1	-22.0	1	-7.02616	1	-6.78073	-1	2
fold5_1457_ID2888.txt_20_7_7_Jungendliche	orth: 17 insertions: other cases	12	Jugendliche	1	0	-11211.1	1	-22.0	1	-7.02616	1	-6.78073	-1	2
fold5_1457_ID2888.txt_20_7_7_Jungendliche	orth: 17 insertions: other cases	12	Jugendliche	1	0	-11211.1	1	-22.0	1	-7.02616	1	-6.78073	-1	2
fold5_1457_ID2888.txt_20_7_7_Jungendliche	orth: 17 insertions: other cases	12	Jugendliche	1	0	-11211.1	1	-22.0	1	-7.02616	1	-6.78073	-1	2
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	der	0	-1	-11905.8	1	-7.24074	-1	-9.18038	-1	-10.4187	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	den	0	-1	-11905.8	1	-7.18799	1	-10.6679	1	-12.4194	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	die	0	-1	-11905.8	1	-7.07917	1	-10.5221	1	-12.1747	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	dem	0	-1	-11905.8	1	-6.9435	1	-10.3494	1	-12.0396	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	dass	1	-1	-11905.8	1	-6.06058	1	-9.18038	1	-10.4187	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	s da	0	1	-11905.9	-1	-6.06058	-1	-9.18038	-1	-10.4187	0	0
fold6_3772_ID1377.txt_11_55_55_das	orth: 11 omissions: of double consonants	3	da s	0	1	-11905.8	-1	-6.06058	-1	-9.18038	-1	-10.4187	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	dazu gehören	0	-1	-20819.3	0	0.0	1	-2113.9	1	-2113.37	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	war dazu gehört	0	-1	-20819.3	0	0.0	1	-2114.36	-1	-2112.47	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	davon gehört	0	-1	-20819.3	0	0.0	1	-2114.4	1	-2113.88	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	gehört zu da	0	-1	-20819.3	0	0.0	1	-2114.41	-1	-2112.47	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	gehört dazu	0	-1	-20819.3	0	0.0	-1	-2113.34	1	-2113.73	0	0
fold5_2146_ID2901.txt_9_77_77_dazu gehört	orth: 06 sep instead of tog: compounds	11	darauf gehört	0	-1	-20819.3	0	0.0	-1	-2113.34	1	-2113.91	0	0
fold0_1498_ID2638.txt_11_25_25_das	orth: 11 omissions: of double consonants	3	den	0	0	0.0	1	-3.37162	-1	-7.46547	-1	-7.02507	0	0
fold0_1498_ID2638.txt_11_25_25_das	orth: 11 omissions: of double consonants	3	Das	0	0	0.0	1	-3.36587	1	-8.31677	1	-7.8103	0	0
fold0_1498_ID2638.txt_11_25_25_das	orth: 11 omissions: of double consonants	3	die	0	0	0.0	1	-3.2712	1	-8.21264	1	-7.70058	0	0
fold0_1498_ID2638.txt_11_25_25_das	orth: 11 omissions: of double consonants	3	dem	0	0	0.0	1	-3.25495	1	-8.17351	1	-7.67639	0	0
fold0_1498_ID2638.txt_11_25_25_das	orth: 11 omissions: of double consonants	3	dass	1	0	0.0	1	-2.81838	1	-7.46547	1	-7.02507	0	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	zu Jugendliche	0	1	0.0	-1	-1.887	1	-6.05089	-1	-4.01019	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	dass	0	1	0.0	-1	-1.887	1	-5.59085	1	-5.92064	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	dass Jugendliche	0	1	0.0	1	-4.04392	-1	-4.32328	-1	-4.01019	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	dasselbe	0	1	0.0	1	-3.96021	-1	-4.32328	-1	-4.01019	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	das Jugendliche	0	1	0.0	1	-3.93655	1	-5.92356	1	-6.5446	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	das	0	1	0.0	1	-3.89219	1	-5.24367	1	-5.39751	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11		0	1	0.0	1	-3.63932	1	-5.41835	1	-5.9102	1	0
fold6_4639_ID2821.txt_4_23_22_Jugentliche	orth: 22 transpositions: of consonants: Fortis/Lenis	11	Jugendliche	1	1	0.0	1	-1.887	1	-4.32328	1	-4.01019	1	0
fold2_3615_ID2100.txt_15_123_123_gehört	corr: number	6	dazugehört	0	0	0.0	0	0.0	1	-2115.99	1	-2114.09	0	0
fold2_3615_ID2100.txt_15_123_123_gehört	corr: number	6	gehören	1	0	0.0	0	0.0	1	-2115.57	1	-2113.6	0	0
